Region,Prodotto
SARDEGNA	Ravioli di patate con origano selvatico di Ardauli - Culurzones de patata cun nebidedda de Ardaule
SARDEGNA	Tallaniusu, Pasta po brodu, Tallaniusu cun casu, Pasta po su lori, Tallarinus
SARDEGNA	Tallutzas, Orecchiette
TOSCANA	Gnudi, Ravioli nudi, Strangolapreti, Strozzapreti, Gnocchi del casentino
TOSCANA	Lasagne bastarde della Lunigiana, Lasagne matte
TOSCANA	Maccheroni della Garfagnana
TOSCANA	Pici, Pinci
TOSCANA	Spaghetti di Lari  Spaghetti di campagna
TOSCANA	Tortelli alla lastra di Corezzo
TOSCANA	Tortello del melo, Raviolo
TOSCANA	Tortello di patate
TOSCANA	Tortello maremmano
UMBRIA	Ciriole
UMBRIA	Passatelli
UMBRIA	Pici
UMBRIA	Strangozzi
VENETO	Gnocchi della Lessinia
VENETO	Lasagne da fornèl
VENETO	Schizzotto
VENETO	Tortellini di Valeggio sul Mincio
